# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	2558
#@/user_id	lin
a 	啊	c=21 d=1.32598 t=2558
na ge 	哪個	c=4 d=0.470011 t=2558
na ge 	那個	c=5 d=1.67797 t=2554
na li 	哪裏	c=1 d=1 t=2451
na me 	那麼	c=3 d=1.8464 t=1953
na ni 	納尼	c=1 d=1 t=2462
na ni men 	拿你們	c=1 d=1 t=691
na zhong 	那種	c=2 d=1.92774 t=2348
nan 	難	c=2 d=0.289384 t=2558
nan du 	難度	c=2 d=1.91851 t=1629
nan shou 	難受	c=1 d=1 t=768
ne 	呢	c=1 d=1 t=1359
nei 	內	c=1 d=1 t=1086
nei rong 	內容	c=2 d=1.97045 t=802
neng 	能	c=6 d=1.27845 t=2558
neng li 	能力	c=1 d=1 t=724
ni 	你	c=15 d=4.31155 t=2558
ni men 	你們	c=4 d=0.578884 t=2558
ni xiang yao 	你想要	c=1 d=1 t=2485
ni yao 	你要	c=1 d=0.367879 t=2558
ni zhuan 	逆轉	c=2 d=1.98511 t=1003
nian ling 	年齡	c=1 d=1 t=586
nian nian bu wang 	念念不忘	c=1 d=1 t=2027
niu bi 	牛逼	c=1 d=1 t=2107
nong 	弄	c=1 d=1 t=2061
ok 	OK	c=2 d=1.64404 t=1526
ou er 	偶爾	c=2 d=1.54335 t=2437
pei zhi 	配置	c=2 d=0.904837 t=2558
peng you quan 	朋友圈	c=1 d=1 t=1244
pi pei 	匹配	c=3 d=2.53459 t=853
pi xie 	皮鞋	c=1 d=1 t=1853
pin 	拼	c=2 d=1.94649 t=1222
ping 	瓶	c=0 d=0.1 t=2028
ping jia 	評價	c=4 d=3.03598 t=1536
ping tan 	平攤	c=1 d=0.351692 t=2558
ping zhong chuan 	瓶中船	c=1 d=1 t=2029
pu 	普	c=2 d=0.837914 t=2558
pu tian 	莆田	c=1 d=0.408608 t=2558
pu tong 	普通	c=1 d=1 t=996
pu xiang 	普祥	c=1 d=0.427415 t=2558
qi dai 	期待	c=1 d=1 t=1029
qi shi 	其實	c=5 d=1.12456 t=2313
qian 	前	c=2 d=1.99501 t=1233
qian duan 	前端	c=2 d=1.95123 t=1220
qian ji tian 	前幾天	c=1 d=1 t=1173
qian yi 	遷移	c=4 d=3.40102 t=2215
qiang 	強	c=1 d=0.278037 t=2558
qiang 	槍	c=1 d=1 t=1965
qiang 	牆	c=2 d=1.99005 t=628
qiang da 	強大	c=1 d=1 t=1996
qie 	且	c=2 d=1.01832 t=1716
qie 	切	c=1 d=0.726149 t=2558
qie huan 	切換	c=3 d=1.0025 t=2173
qin 	秦	c=1 d=1 t=734
qin zhan 	侵佔	c=1 d=1 t=1792
qing chu 	清楚	c=2 d=1.00143 t=2290
qing jia 	請假	c=3 d=0.495888 t=2558
qing kuang 	情況	c=1 d=0.913931 t=2558
qing qiu 	請求	c=1 d=1 t=1031
qing song 	輕鬆	c=1 d=1 t=2423
qing xi 	清晰	c=2 d=1.81873 t=1328
qu 	去	c=5 d=1.90211 t=2558
qu bie 	區別	c=11 d=2.03499 t=2254
qu diao 	去掉	c=1 d=1 t=614
quan 	全	c=2 d=1.00158 t=2540
quan bu 	全部	c=3 d=1.01205 t=2137
quan dou 	全都	c=1 d=1 t=1208
quan gui 	全跪	c=1 d=1 t=2312
que 	卻	c=2 d=1.17996 t=930
que shi 	確實	c=11 d=0.477126 t=2558
qun 	羣	c=6 d=1.93898 t=2372
ran er 	然而	c=1 d=1 t=1745
ran hou 	然後	c=3 d=0.150318 t=2558
rang 	讓	c=2 d=1.0299 t=2311
re rong jiao 	熱熔膠	c=2 d=1.02075 t=1964
re si 	熱死	c=1 d=1 t=565
ren 	人	c=6 d=0.913931 t=2558
ren lei 	人類	c=1 d=1 t=1992
ren shi de 	認識的	c=1 d=1 t=2454
ri ji ben 	日記本	c=1 d=1 t=2006
ri ju 	日劇	c=1 d=1 t=1823
ri zhi 	日誌	c=1 d=1 t=617
ru guo 	如果	c=2 d=1.0011 t=2508
sai 	塞	c=1 d=0.379083 t=2558
sai fa 	塞發	c=1 d=1 t=1196
san ci 	三次	c=1 d=1 t=2267
san fen 	三分	c=1 d=1 t=1514
san qu 	散去	c=1 d=1 t=1846
san ya 	三亞	c=3 d=2.74185 t=569
sao 	掃	c=1 d=1 t=2193
sha 	啥	c=9 d=0.933712 t=2558
sha bi 	傻逼	c=2 d=0.683861 t=2558
sha le 	啥了	c=1 d=1 t=1347
sha le 	殺了	c=1 d=1 t=1346
shan diao 	刪掉	c=1 d=1 t=1563
shang 	上	c=13 d=2.90744 t=2558
shang ban 	上班	c=1 d=1 t=437
shang sheng 	上升	c=1 d=1 t=1928
shang xian 	上線	c=2 d=1.00236 t=2160
shao 	少	c=2 d=1.08416 t=1128
shao deng 	稍等	c=2 d=1.00013 t=2463
shen jing bing 	神經病	c=2 d=1.9802 t=707
shen me 	什麼	c=15 d=1.75053 t=2558
sheng huo 	生活	c=1 d=0.353455 t=2558
sheng ji 	升級	c=4 d=0.16696 t=2558
sheng le 	升了	c=1 d=1 t=1175
sheng xia 	剩下	c=1 d=1 t=1206
sheng xiao 	生效	c=1 d=1 t=678
sheng yu 	剩餘	c=1 d=1 t=2135
shi 	屎	c=2 d=1.0276 t=2101
shi 	是	c=56 d=6.53936 t=2558
shi 	時	c=8 d=0.535124 t=2558
shi bu shi 	是不是	c=4 d=1.78205 t=1344
shi fou 	是否	c=2 d=0.404542 t=2558
shi ge 	是個	c=1 d=1 t=701
shi hou 	時候	c=4 d=0.616235 t=2558
shi jian 	時間	c=4 d=2.69219 t=1317
shi li 	實例	c=1 d=1 t=714
shi lian 	失聯	c=2 d=1.11012 t=2558
shi qing 	事情	c=1 d=1 t=472
shi qu 	時區	c=2 d=1.9802 t=1217
shi shi 	事實	c=1 d=1 t=494
shi ti 	屍體	c=1 d=1 t=631
shi xi 	實習	c=1 d=1 t=1485
shi xi sheng 	實習生	c=2 d=1.91851 t=2076
shi xian 	實現	c=5 d=1.02024 t=2288
shi yan 	實驗	c=2 d=1.99501 t=1881
shi yao 	是要	c=1 d=1 t=1198
shi yong 	使用	c=1 d=1 t=2186
shou cang 	收藏	c=1 d=1 t=1386
shou cang jia 	收藏夾	c=1 d=1 t=1385
shou gou 	收購	c=1 d=1.06873 t=2120
shou gou de 	收購的	c=1 d=1 t=2046
shou ji 	手機	c=1 d=0.923116 t=2558
shou ji ban 	手機版	c=1 d=1 t=1380
shou le 	受了	c=1 d=1 t=1830
shou xian 	首先	c=3 d=1.0059 t=1671
shu 	叔	c=1 d=0.798516 t=2558
shu 	數	c=2 d=1.09072 t=1071
shu 	書	c=1 d=1 t=1985
shu 	熟	c=2 d=1.00409 t=2284
shu fu 	舒服	c=2 d=0.856415 t=2558
shu ju 	數據	c=4 d=2.0317 t=2363
shu ju jie gou 	數據結構	c=1 d=1 t=2285
shu lian 	熟練	c=1 d=1 t=1674
shu liang 	數量	c=1 d=1 t=613
shu ru 	輸入	c=2 d=0.235746 t=2558
shu ru fa 	輸入法	c=3 d=1.01515 t=1640
shu xu guan 	鼠鬚管	c=4 d=0.995022 t=2558
shu yu 	術語	c=1 d=1 t=986
shu zu 	數組	c=2 d=1.01674 t=1423
shuang fang 	雙方	c=2 d=1.70469 t=1793
shuang pin 	雙拼	c=7 d=1.55199 t=2558
shui long tou 	水龍頭	c=2 d=1.99501 t=2395
shun bian 	順便	c=1 d=0.249075 t=2558
shun li 	順利	c=1 d=1 t=1637
shuo 	說	c=4 d=1.76181 t=2558
shuo bu ding 	說不定	c=1 d=1 t=1602
shuo ming 	說明	c=1 d=1 t=990
shuo qi 	說起	c=1 d=0.806541 t=2558
shuo shen me 	說什麼	c=1 d=0.955997 t=2558
si 	四	c=1 d=1 t=461
si ci 	四次	c=1 d=1 t=2269
si lu 	思路	c=4 d=1.00946 t=2278
si wei 	思維	c=1 d=1 t=1326
sou 	搜	c=9 d=0.84347 t=2558
sou ren 	搜人	c=2 d=1.66365 t=719
sou suo 	搜索	c=7 d=0.937812 t=2558
su du 	速度	c=2 d=1.82823 t=2558
suan 	算	c=1 d=1 t=1202
suan fa 	算法	c=4 d=1.99207 t=2304
sui bian 	隨便	c=1 d=1 t=2425
sui ran 	雖然	c=7 d=0.865022 t=2558
suo me t 	所麼无敌幻影脚！ヽ(ヽ `д′)ヽ`д′)ヽ`д′)┌┛┌┛┌┛★)`з゜)y	c=1 d=0.232236 t=2558
suo yi 	所以	c=5 d=0.942671 t=2558
suo yin 	索引	c=4 d=1.02637 t=2224
suo you 	所有	c=2 d=1.00385 t=2196
ta 	他	c=4 d=1.81742 t=2111
ta 	她	c=2 d=1.00883 t=2083
ta men 	他們	c=3 d=0.778801 t=2558
tai 	太	c=6 d=0.360595 t=2558
tai cha 	太差	c=2 d=1.9802 t=2305
tai duo 	太多	c=4 d=0.918512 t=2558
tai jiu 	太久	c=1 d=1 t=915
tai nan 	太難	c=1 d=1 t=1542
tai yuan 	太原	c=2 d=0.465334 t=2558
tai zao 	太早	c=1 d=1 t=538
teng 	疼	c=1 d=0.229925 t=2558
ti 	題	c=1 d=1.05648 t=1614
ti huan 	替換	c=1 d=1 t=2469
ti mu 	題目	c=3 d=2.54247 t=1631
ti qian 	提前	c=1 d=1 t=715
ti shi 	提示	c=1 d=1 t=997
ti yan 	體驗	c=1 d=1 t=1381
tian jia 	添加	c=1 d=1 t=2396
tiao 	跳	c=1 d=1 t=1371
tiao zheng 	調整	c=2 d=1.0091 t=2550
tiao zhuan 	跳轉	c=1 d=1 t=1075
ting 	挺	c=1 d=1 t=1327
ting 	聽	c=3 d=2.81895 t=2345
ting bu cuo 	挺不錯	c=1 d=1 t=757
ting guo 	聽過	c=1 d=1 t=2295
ting hao 	挺好	c=2 d=0.180866 t=2558
tong bu 	同步	c=1 d=1 t=2167
tong guo 	通過	c=1 d=1 t=1638
tong shi 	同事	c=1 d=1 t=1234
tong shi 	同時	c=1 d=1 t=581
tong xin 	通信	c=4 d=1.02258 t=2261
tong yang 	同樣	c=1 d=1 t=2213
tou chuan 	投傳	c=1 d=1 t=2535
tou chuan 	透傳	c=1 d=1 t=2536
tou tiao 	頭條	c=1 d=1 t=1354
tu ran 	突然	c=2 d=1.3396 t=2087
tuo 	坨	c=1 d=1.00576 t=2100
tuo yun 	託運	c=2 d=1.85214 t=1832
wa 	瓦	c=1 d=0.591555 t=2558
wa gong 	瓦工	c=0 d=0.0582748 t=2558
wan 	完	c=2 d=1.00541 t=2476
wan bi 	完畢	c=1 d=1 t=2551
wan dan 	完蛋	c=1 d=1 t=1089
wan quan 	完全	c=9 d=5.13092 t=2343
wan shang 	晚上	c=1 d=0.242926 t=2558
wan zheng 	完整	c=1 d=1 t=2229
wang 	王	c=2 d=1.12003 t=2527
wang jing 	王靜	c=2 d=1.99501 t=2530
wang le 	忘了	c=1 d=1 t=2088
wang xiao shan 	王小山	c=1 d=1 t=1341
wang xu 	王旭	c=1 d=1 t=2102
wei 	爲	c=2 d=1.00176 t=1941
wei ci 	爲此	c=1 d=1 t=555
wei lai 	未來	c=2 d=1.98511 t=1934
wei ruan 	微軟	c=2 d=0.847894 t=2558
wei sha 	爲啥	c=1 d=1 t=1348
wei shen me 	爲什麼	c=2 d=0.433874 t=2558
wei yi 	唯一	c=1 d=1 t=766
wen 	問	c=1 d=1 t=1454
wen dang 	文檔	c=5 d=1.01071 t=2516
wen ding 	穩定	c=1 d=1 t=2175
wen hao 	問號	c=1 d=1 t=1340
wen le 	問了	c=1 d=1 t=1534
wen ti 	問題	c=12 d=1.38992 t=2558
wen yi xia 	問一下	c=1 d=1 t=1509
wen zi 	文字	c=1 d=1 t=751
wo 	我	c=37 d=5.10232 t=2558
wo ai 	我愛	c=1 d=0.918512 t=2558
wo bu ming bai 	我不明白	c=1 d=1 t=2498
wo cai 	我才	c=1 d=1 t=2321
wo cao 	我操	c=1 d=0.339596 t=2558
wo dao shi 	我倒是	c=1 d=0.204948 t=2558
wo hui 	我會	c=1 d=1 t=1772
wo jue de 	我覺得	c=1 d=1 t=1651
wo kan 	我看	c=1 d=1 t=1548
wo lai 	我來	c=1 d=1 t=1353
wo men 	我們	c=13 d=1.79391 t=2558
wo neng 	我能	c=1 d=1 t=1502
wo qu 	我去	c=3 d=1.37856 t=2558
wo qu ni 	我去你	c=1 d=0.869358 t=2558
wo shi 	我是	c=3 d=1.68364 t=2558
wo shou 	握手	c=1 d=1 t=2268
wo tian 	我天	c=1 d=0.965605 t=2558
wo xiang 	我想	c=1 d=1 t=1508
wo zi ji 	我自己	c=1 d=1 t=1847
wu 	無	c=1 d=0.164474 t=2558
wu fa 	無法	c=1 d=1 t=931
wu lun 	無論	c=1 d=1 t=1468
wu ming 	無名	c=0 d=0.1 t=736
wu ming qun 	無名羣	c=1 d=1 t=737
wu shu ren 	無數人	c=1 d=1 t=2150
wu yi yi 	無意義	c=1 d=1 t=1294
wudi 	↑↑↓↓←→←→ＢＡ...┗( -o-)┛无敌！	c=1 d=0.2334 t=2558
xi fu 	西服	c=2 d=1.87372 t=1828
xi guan 	習慣	c=1 d=0.529935 t=2558
xi hao 	喜好	c=1 d=1 t=2336
xi huan 	喜歡	c=5 d=1.86641 t=2328
xi lai deng 	喜來登	c=1 d=1 t=567
xi shi 	西式	c=1 d=1 t=1699
xi tong 	系統	c=1 d=1 t=1177
xi wang 	希望	c=1 d=0.163654 t=2558
xi yi ji 	洗衣機	c=3 d=1.96141 t=2391
xia 	下	c=9 d=1.82696 t=2558
xia ci 	下次	c=1 d=1 t=2042
xia mian 	下面	c=1 d=1 t=629
xia qu 	下去	c=1 d=1 t=1775
xia wu 	下午	c=2 d=0.26982 t=2558
xia yi dai 	下一代	c=1 d=1 t=2413
xia you 	下游	c=1 d=1 t=2232
xian 	先	c=5 d=1.19847 t=2558
xian cheng 	線程	c=7 d=1.04033 t=2253
xian ran 	顯然	c=1 d=1 t=1488
xian shang 	線上	c=1 d=1 t=2242
xian shi 	顯示	c=2 d=0.225373 t=2558
xian xia 	線下	c=1 d=1 t=2543
xian you 	現有	c=1 d=1 t=1060
xian zai 	現在	c=11 d=1.82681 t=2558
xian zhu 	顯著	c=1 d=1 t=1954
xiang 	像	c=2 d=1.06687 t=2099
xiang 	想	c=3 d=1.82853 t=2432
xiang 	祥	c=3 d=1.25277 t=2558
xiang 	箱	c=0 d=0.0305746 t=2558
xiang 	響	c=1 d=1 t=575
xiang dao 	想到	c=2 d=1.97045 t=1005
xiang dui 	相對	c=1 d=1 t=2422
xiang fan 	相反	c=1 d=1 t=2338
xiang mu 	項目	c=1 d=1 t=1020
xiang yao 	想要	c=3 d=0.946485 t=2558
xiao guo 	效果	c=3 d=2.6524 t=1960
xiao he 	小鶴	c=5 d=1.02541 t=2558
xiao ku 	笑哭	c=1 d=1 t=2558
xiao shi hou 	小時候	c=1 d=1 t=2002
xiao tian e 	小天鵝	c=1 d=1 t=2246
xiao xi 	消息	c=3 d=1.00949 t=2375
xiao xing 	小型	c=1 d=1 t=2243
xiao zhao 	校招	c=5 d=2.83592 t=1647
xie 	些	c=1 d=1 t=1293
xie 	寫	c=8 d=1.07215 t=2492
xie chu lai 	寫出來	c=1 d=1 t=597
xie cuo 	寫錯	c=1 d=1 t=1015
xie dao 	寫到	c=1 d=1 t=1868
xie si 	寫死	c=1 d=1 t=1578
xin 	新	c=1 d=1 t=1065
xin ban 	新版	c=3 d=1.0093 t=2093
xin hao 	信號	c=1 d=1 t=936
xin niang 	新娘	c=1 d=1 t=1701
xin qing 	心情	c=1 d=1 t=2316
xin tai 	心態	c=2 d=1.00089 t=1920
xin tiao 	心跳	c=1 d=1 t=965
xin xi 	信息	c=1 d=1 t=459
xin zeng 	新增	c=4 d=2.017 t=1662
xing fu 	幸福	c=2 d=1.14957 t=1743
xing fu gan 	幸福感	c=1 d=1 t=1926
xing kui 	幸虧	c=1 d=0.557106 t=2558
xing neng 	性能	c=1 d=1 t=1093
xing qiu 	星球	c=1 d=0.396531 t=2558
xing qu 	興趣	c=2 d=1.99501 t=2442
xing wei 	行爲	c=1 d=1 t=1806
xiong di 	兄弟	c=2 d=1.00009 t=2497
xiu fu 	修復	c=4 d=0.522046 t=2558
xu jiu 	許久	c=1 d=1 t=1971
xu qiu 	需求	c=1 d=1 t=826
xu yao 	需要	c=5 d=1.1177 t=1645
xuan 	玄	c=1 d=1 t=1552
xuan ze 	選擇	c=1 d=1 t=1370
xue 	學	c=1 d=1 t=1988
xue dao 	學到	c=1 d=1 t=1798
xue fei 	雪菲	c=3 d=1.21204 t=1130
xue sheng 	學生	c=1 d=1 t=1027
xun 	薰	c=1 d=1 t=1840
xun lian 	訓練	c=2 d=1.98511 t=2387
yan zhong 	嚴重	c=2 d=1.06995 t=1092
yang 	養	c=1 d=1 t=2031
yao 	要	c=7 d=0.814635 t=2558
yao bi 	要比	c=1 d=1 t=498
yao ming 	要命	c=2 d=1.96561 t=551
yao qiu 	要求	c=3 d=0.267135 t=2558
yao shi 	要是	c=2 d=1.88692 t=1129
yao yuan 	遙遠	c=1 d=1 t=1765
ye 	也	c=7 d=0.176544 t=2558
ye ji 	野雞	c=1 d=0.45612 t=2558
ye neng 	也能	c=1 d=1 t=2421
ye shi 	也是	c=4 d=0.194952 t=2558
yi 	以	c=2 d=1.01463 t=1429
yi 	已	c=1 d=1 t=726
yi ba 	一把	c=1 d=1 t=1963
yi ban 	一版	c=1 d=1 t=492
yi ban 	一般	c=1 d=0.909373 t=2558
yi ban qing kuang xia 	一般情況下	c=2 d=1.86018 t=2558
yi bian 	一遍	c=1 d=1 t=1045
yi bo 	一波	c=2 d=1.00102 t=2553
yi bu 	異步	c=3 d=2.43551 t=2502
yi da 	一大	c=0 d=0.1 t=1529
yi da tuo 	一大坨	c=1 d=1 t=1530
yi dian 	一點	c=2 d=1.47473 t=1799
yi dian yi dian 	一點一點	c=1 d=1 t=1667
yi duan 	一段	c=1 d=1 t=1312
yi ge 	一個	c=2 d=0.680451 t=2558
yi ge ren 	一個人	c=1 d=1 t=2112
yi gui 	衣櫃	c=1 d=1 t=1839
yi hang 	一行	c=1 d=1 t=2310
yi jing 	已經	c=1 d=1 t=434
yi kao 	依靠	c=1 d=1 t=571
yi lu 	一路	c=2 d=1.0019 t=1831
yi luo 	一摞	c=1 d=1 t=2005
yi luo 	遺落	c=1 d=1 t=2019
yi mian 	一面	c=1 d=1 t=2085
yi nian 	一年	c=2 d=1.63763 t=1358
yi pian 	一篇	c=1 d=1 t=2036
yi qian 	以前	c=3 d=0.205975 t=2558
yi shang 	以上	c=1 d=1 t=2218
yi sheng 	一聲	c=1 d=0.302704 t=2558
yi si 	意思	c=3 d=0.364219 t=2558
yi tai 	一臺	c=2 d=1.07245 t=2558
yi wai 	意外	c=2 d=1.00188 t=1769
yi xia 	一下	c=7 d=0.852208 t=2558
yi xie 	一些	c=6 d=1.14804 t=2558
yi yang 	一樣	c=1 d=1 t=666
yi yi 	意義	c=4 d=2.94408 t=1625
yi yuan 	醫院	c=6 d=2.80016 t=2558
yi zhi 	一直	c=4 d=2.59325 t=2026
yin 	因	c=1 d=1 t=1940
yin si 	隱私	c=1 d=0.202909 t=2558
yin wei 	因爲	c=5 d=1.32324 t=2231
yin yue 	音樂	c=1 d=1 t=2334
ying gai 	應該	c=3 d=1.00014 t=2524
ying jun 	英俊	c=0 d=0.0240508 t=2558
ying wen 	英文	c=1 d=1 t=1984
ying xiang 	映象	c=1 d=1 t=1324
yong 	用	c=14 d=1.19146 t=2558
yong dao 	用到	c=1 d=1 t=830
yong de 	用的	c=2 d=1.94176 t=658
yong guo 	用過	c=1 d=1 t=2406
yong hu 	用戶	c=4 d=1.93616 t=2371
yong shang 	用上	c=1 d=0.995012 t=2558
you 	又	c=2 d=1.65705 t=562
you 	有	c=21 d=1.79705 t=2558
you 	由	c=1 d=1 t=1209
you ba 	有吧	c=1 d=1 t=2398
you dian 	有點	c=2 d=0.970446 t=2558
you ge 	有個	c=1 d=1 t=1231
you guo 	有過	c=1 d=1 t=1311
you le 	有了	c=1 d=1 t=1921
you qi 	尤其	c=1 d=1 t=1935
you sha 	有啥	c=2 d=1.21981 t=1493
you shen me 	有什麼	c=1 d=1 t=1756
you shi 	有事	c=2 d=0.500804 t=2558
you xie 	有些	c=5 d=2.09077 t=1814
you yang 	悠揚	c=1 d=1 t=2324
yu e 	餘額	c=1 d=1 t=559
yu ju 	語句	c=0 d=0.0927743 t=2558
yu ju liu 	語句流	c=1 d=0.932394 t=2558
yu qi 	與其	c=1 d=0.449329 t=2558
yu zhong 	雨中	c=1 d=1 t=1718
yuan 	願	c=2 d=1.99501 t=736
yuan cun 	圓寸	c=1 d=1 t=573
yuan gu 	緣故	c=1 d=1 t=1825
yuan shi 	原始	c=1 d=0.226502 t=2558
yuan yi wei 	原以爲	c=1 d=1 t=1861
yuan yin 	原因	c=1 d=1 t=2222
yue 	月	c=1 d=0.239309 t=2558
yue da 	越大	c=1 d=0.293758 t=2558
yue fa 	越發	c=1 d=1 t=1900
yue lai 	越來	c=1 d=0.292293 t=2558
yue lai yue 	越來越	c=1 d=1 t=1673
yun 	雲	c=0 d=0.1 t=2447
za la 	咋啦	c=1 d=0.26054 t=2558
zai 	再	c=2 d=1.00343 t=1968
zai 	在	c=18 d=2.33365 t=2558
zai na 	在哪	c=1 d=1 t=921
zai yi 	在意	c=1 d=1 t=1947
zai zhe ge 	在這個	c=1 d=1 t=1236
zan shi 	暫時	c=1 d=0.509156 t=2558
zao shang 	早上	c=2 d=0.273898 t=2558
ze 	則	c=1 d=1 t=488
ze shi 	則是	c=1 d=1 t=1698
zen me 	怎麼	c=2 d=0.715345 t=2558
zen me ban 	怎麼辦	c=1 d=1 t=2377
zeng jia 	增加	c=1 d=1 t=723
zha le 	扎了	c=1 d=1 t=1133
zha le 	炸了	c=1 d=1 t=1134
zha shi 	紮實	c=0 d=0.1 t=1015
zhai wu 	債務	c=1 d=1 t=2436
zhan shi 	展示	c=1 d=1 t=738
zhang 	張	c=4 d=0.276651 t=2558
zhao 	找	c=3 d=1.62514 t=2495
zhao bu dao 	找不到	c=1 d=1 t=639
zhao chu lai 	找出來	c=1 d=1 t=1301
zhao dao 	找到	c=1 d=1 t=2526
zhao qun 	找羣	c=1 d=1 t=638
zhao shi jian 	找時間	c=1 d=1 t=1668
zhe 	着	c=1 d=1 t=1599
zhe 	這	c=6 d=1.09115 t=2047
zhe bian 	這邊	c=3 d=1.18624 t=1528
zhe ci 	這次	c=2 d=1.00118 t=1810
zhe da 	浙大	c=1 d=1 t=1026
zhe fang mian 	這方面	c=1 d=1 t=1948
zhe ge 	這個	c=30 d=0.968575 t=2558
zhe jian shi 	這件事	c=1 d=1 t=1944
zhe lei 	這類	c=1 d=1 t=2510
zhe li 	這裏	c=2 d=1.3396 t=749
zhe liang 	這兩	c=1 d=1 t=1225
zhe me 	這麼	c=1 d=1 t=510
zhe shi 	這是	c=2 d=1.99501 t=1583
zhe teng 	折騰	c=1 d=0.17552 t=2558
zhe yang 	這樣	c=3 d=0.358796 t=2558
zhe zhong 	這種	c=3 d=0.986435 t=2558
zhen shi 	真是	c=1 d=1 t=1995
zheng ge 	整個	c=1 d=1 t=1903
zheng gui 	正規	c=1 d=0.440432 t=2558
zheng he 	整合	c=1 d=1 t=1155
zheng li 	整理	c=1 d=1 t=2007
zheng ming 	證明	c=1 d=1 t=495
zheng que 	正確	c=2 d=1.16447 t=1290
zheng ti 	整體	c=3 d=1.14281 t=1721
zheng wen 	正文	c=1 d=1 t=855
zheng zai 	正在	c=1 d=0.514274 t=2558
zheng zhuang 	正裝	c=1 d=0.265803 t=2558
zhi 	值	c=1 d=1 t=1571
zhi 	只	c=4 d=1.00223 t=2365
zhi 	至	c=5 d=2.68476 t=2364
zhi ban 	紙板	c=1 d=0.345631 t=2558
zhi ban xiang 	紙板箱	c=2 d=0.617646 t=2558
zhi chi 	支持	c=4 d=2.14977 t=1186
zhi dao 	知道	c=1 d=1 t=2486
zhi de 	指的	c=1 d=1 t=2504
zhi hou 	之後	c=2 d=1.32465 t=2191
zhi hu 	知乎	c=2 d=1.84366 t=1227
zhi hui 	只會	c=1 d=1 t=852
zhi ji 	至極	c=1 d=1 t=476
zhi jie 	直接	c=8 d=1.00876 t=2558
zhi lei 	之類	c=1 d=1 t=1749
zhi liao 	治療	c=1 d=0.467666 t=2558
zhi ling 	指令	c=3 d=1.87012 t=2164
zhi neng 	只能	c=1 d=1 t=1666
zhi shi ge 	只是個	c=1 d=1 t=847
zhi yan 	直言	c=1 d=1 t=2282
zhi yao 	只要	c=1 d=0.744532 t=2558
zhi you 	只有	c=2 d=1.00417 t=2320
zhi zhi dao 	只知道	c=2 d=1.00085 t=2298
zhong 	中	c=4 d=0.606531 t=2558
zhong 	重	c=1 d=1 t=2021
zhong chuan 	中船	c=0 d=0.1 t=2028
zhong dian 	重點	c=1 d=1 t=2555
zhong gou 	重構	c=1 d=1 t=2552
zhong guo 	中國	c=2 d=1.83249 t=2558
zhong jian 	中間	c=1 d=1 t=1310
zhong liu 	腫瘤	c=1 d=0.429557 t=2558
zhong shi 	中式	c=1 d=1 t=1692
zhong wen 	中文	c=2 d=0.960789 t=2558
zhong yu 	終於	c=2 d=0.99005 t=2558
zhou ri 	週日	c=1 d=0.254107 t=2558
zhu fu 	祝福	c=1 d=1 t=1735
zhu jian 	逐漸	c=1 d=1 t=519
zhu ti 	主題	c=1 d=1 t=464
zhu yao 	主要	c=5 d=1.54892 t=2558
zhuan bian 	轉變	c=1 d=1 t=520
zhuang 	裝	c=1 d=1 t=2390
zhuang tai 	狀態	c=1 d=1 t=905
zhun bei 	準備	c=2 d=1.0131 t=1816
zhun que 	準確	c=2 d=1.9802 t=989
zhuo shi 	着實	c=1 d=1 t=512
zi dai 	自帶	c=3 d=0.447097 t=2558
zi duan 	字段	c=1 d=1 t=1663
zi ji 	自己	c=9 d=1.04485 t=2558
zi wo 	自我	c=1 d=1 t=1272
zi you 	自由	c=2 d=1.17204 t=2147
zi zhao 	自找	c=1 d=1 t=1856
zong he 	綜合	c=6 d=1.0224 t=2299
zong jue de 	總覺得	c=1 d=1 t=2450
zou 	走	c=1 d=0.535261 t=2558
zu gou 	足夠	c=1 d=1 t=1787
zui hou 	最後	c=2 d=1.08168 t=1399
zui jin 	最近	c=1 d=1 t=469
zuo 	做	c=3 d=1.48463 t=1659
zuo chu lai 	做出來	c=1 d=1 t=1632
zuo dui 	作對	c=0 d=0.1 t=1468
zuo guo 	做過	c=1 d=1 t=1036
zuo mei zuo dui 	做沒作對	c=1 d=1 t=1469
zuo tian 	昨天	c=1 d=1 t=2307
